% Fsweep 23  at:	11/12/2024	16:43:38	drive_mV 7000.000000	DVM  0.000000
freq	Vx	Vy	time
8.8069607160E+1	2.4676400000E-5	4.0686300000E-4	3.8167798219E+9
8.8074636804E+1	2.5153300000E-5	4.0799600000E-4	3.8167798300E+9
8.8079666449E+1	2.5689700000E-5	4.0966500000E-4	3.8167798380E+9
8.8084696094E+1	2.6762600000E-5	4.1204900000E-4	3.8167798461E+9
8.8089725739E+1	2.7418300000E-5	4.1389700000E-4	3.8167798542E+9
8.8094755383E+1	2.7299000000E-5	4.1544600000E-4	3.8167798623E+9
8.8099785028E+1	2.9087200000E-5	4.1765200000E-4	3.8167798704E+9
8.8104814673E+1	2.9266000000E-5	4.1920100000E-4	3.8167798784E+9
8.8109844318E+1	3.0398500000E-5	4.2134700000E-4	3.8167798865E+9
8.8114873962E+1	3.1411900000E-5	4.2337400000E-4	3.8167798946E+9
8.8119903607E+1	3.3974900000E-5	4.2563900000E-4	3.8167799027E+9
8.8124933252E+1	3.4213300000E-5	4.2850000000E-4	3.8167799108E+9
8.8129962897E+1	3.5822600000E-5	4.3028800000E-4	3.8167799188E+9
8.8134992542E+1	3.7730000000E-5	4.3291000000E-4	3.8167799269E+9
8.8140022186E+1	3.9041300000E-5	4.3636700000E-4	3.8167799350E+9
8.8145051831E+1	4.1008200000E-5	4.3857300000E-4	3.8167799431E+9
8.8150081476E+1	4.2081100000E-5	4.4179100000E-4	3.8167799512E+9
8.8155111121E+1	4.4346100000E-5	4.4441400000E-4	3.8167799592E+9
8.8160140765E+1	4.6909100000E-5	4.4715600000E-4	3.8167799673E+9
8.8165170410E+1	4.8995300000E-5	4.5097100000E-4	3.8167799754E+9
8.8170200055E+1	5.1439000000E-5	4.5395100000E-4	3.8167799835E+9
8.8175229700E+1	5.4002000000E-5	4.5764600000E-4	3.8167799916E+9
8.8180259344E+1	5.7816700000E-5	4.6217600000E-4	3.8167799997E+9
8.8185288989E+1	6.1274000000E-5	4.6545500000E-4	3.8167800077E+9
8.8190318634E+1	6.4194700000E-5	4.7034200000E-4	3.8167800158E+9
8.8195348279E+1	6.8426600000E-5	4.7427600000E-4	3.8167800239E+9
8.8200377924E+1	7.4446700000E-5	4.7844800000E-4	3.8167800320E+9
