% Fsweep 8  at:	18/12/2024	15:55:46	drive_mV 7000.000000	DVM  0.000000
freq	Vx	Vy	time
8.8135902129E+1	1.3113100000E-4	1.0807600000E-3	3.8173814039E+9
8.8139667428E+1	1.3590000000E-4	1.0924400000E-3	3.8173814190E+9
8.8143432728E+1	1.4138300000E-4	1.1053200000E-3	3.8173814342E+9
8.8147198027E+1	1.4662800000E-4	1.1191400000E-3	3.8173814493E+9
8.8150963327E+1	1.5211200000E-4	1.1329700000E-3	3.8173814645E+9
8.8154728626E+1	1.5926500000E-4	1.1487100000E-3	3.8173814796E+9
8.8158493926E+1	1.6665600000E-4	1.1644400000E-3	3.8173814948E+9
8.8162259225E+1	1.7309300000E-4	1.1799400000E-3	3.8173815099E+9
8.8166024525E+1	1.8096100000E-4	1.1971100000E-3	3.8173815251E+9
8.8169789825E+1	1.8811300000E-4	1.2135600000E-3	3.8173815402E+9
8.8173555124E+1	1.9645800000E-4	1.2309600000E-3	3.8173815554E+9
8.8177320424E+1	2.0551800000E-4	1.2490800000E-3	3.8173815705E+9
8.8181085723E+1	2.1600800000E-4	1.2681600000E-3	3.8173815857E+9
8.8184851023E+1	2.2626000000E-4	1.2884200000E-3	3.8173816008E+9
8.8188616322E+1	2.3675100000E-4	1.3101200000E-3	3.8173816160E+9
8.8192381622E+1	2.4891100000E-4	1.3311000000E-3	3.8173816311E+9
8.8196146921E+1	2.6107000000E-4	1.3535100000E-3	3.8173816463E+9
8.8199912221E+1	2.7561400000E-4	1.3771100000E-3	3.8173816614E+9
8.8203677520E+1	2.9015700000E-4	1.4026200000E-3	3.8173816766E+9
8.8207442820E+1	3.0660800000E-4	1.4279000000E-3	3.8173816917E+9
8.8211208119E+1	3.2425100000E-4	1.4546000000E-3	3.8173817069E+9
8.8214973419E+1	3.4380100000E-4	1.4832100000E-3	3.8173817220E+9
8.8218738718E+1	3.6478200000E-4	1.5134900000E-3	3.8173817372E+9
8.8222504018E+1	3.8624000000E-4	1.5456800000E-3	3.8173817523E+9
8.8226269317E+1	4.1032000000E-4	1.5781000000E-3	3.8173817675E+9
8.8230034617E+1	4.3821500000E-4	1.6145800000E-3	3.8173817827E+9
8.8233799916E+1	4.6944800000E-4	1.6517700000E-3	3.8173817978E+9
8.8237565216E+1	5.0044400000E-4	1.6884900000E-3	3.8173818130E+9
