% Fsweep 1  at:	09/12/2024	14:02:45	drive_mV 7000.000000	DVM  0.000000
freq	Vx	Vy	time
1.4218686869E+2	1.8406000000E-4	-6.1273900000E-4	3.8165978223E+9
1.4219696970E+2	1.6713200000E-4	-5.9414300000E-4	3.8165978253E+9
1.4220707071E+2	1.5294600000E-4	-5.7387700000E-4	3.8165978284E+9
1.4221717172E+2	1.4126400000E-4	-5.5432700000E-4	3.8165978314E+9
1.4222727273E+2	1.2278600000E-4	-5.3728000000E-4	3.8165978344E+9
1.4223737374E+2	1.1479900000E-4	-5.1737200000E-4	3.8165978375E+9
1.4224747475E+2	1.0705000000E-4	-5.0104000000E-4	3.8165978405E+9
1.4225757576E+2	1.0359300000E-4	-4.8804500000E-4	3.8165978435E+9
1.4226767677E+2	9.8109700000E-5	-4.7564700000E-4	3.8165978465E+9
1.4227777778E+2	9.1195600000E-5	-4.6289200000E-4	3.8165978496E+9
1.4228787879E+2	7.9989900000E-5	-4.4608300000E-4	3.8165978526E+9
1.4229797980E+2	7.5221500000E-5	-4.3392400000E-4	3.8165978556E+9
1.4230808081E+2	7.5817600000E-5	-4.2963200000E-4	3.8165978587E+9
1.4231818182E+2	6.5088700000E-5	-4.1938000000E-4	3.8165978617E+9
1.4232828283E+2	6.5923200000E-5	-4.0722100000E-4	3.8165978647E+9
1.4233838384E+2	6.2704600000E-5	-3.9422700000E-4	3.8165978678E+9
1.4234848485E+2	5.6267000000E-5	-3.9232000000E-4	3.8165978708E+9
1.4235858586E+2	5.3406000000E-5	-3.8027900000E-4	3.8165978738E+9
1.4236868687E+2	5.4836500000E-5	-3.7074300000E-4	3.8165978768E+9
1.4237878788E+2	4.7683900000E-5	-3.6597400000E-4	3.8165978799E+9
1.4238888889E+2	4.6849500000E-5	-3.5941800000E-4	3.8165978829E+9
1.4239898990E+2	4.3392400000E-5	-3.5333800000E-4	3.8165978859E+9
1.4240909091E+2	4.0889000000E-5	-3.4559000000E-4	3.8165978890E+9
1.4241919192E+2	4.1485100000E-5	-3.3700700000E-4	3.8165978920E+9
1.4242929293E+2	3.8981700000E-5	-3.3056900000E-4	3.8165978950E+9
1.4243939394E+2	3.5763000000E-5	-3.2794700000E-4	3.8165978981E+9
1.4244949495E+2	3.5167000000E-5	-3.2150900000E-4	3.8165979011E+9
1.4245959596E+2	3.5763000000E-5	-3.1233000000E-4	3.8165979041E+9
1.4246969697E+2	3.5643800000E-5	-3.0935000000E-4	3.8165979071E+9
1.4247979798E+2	3.5643800000E-5	-3.0696600000E-4	3.8165979102E+9
1.4248989899E+2	3.5047800000E-5	-3.0148200000E-4	3.8165979132E+9
1.4250000000E+2	3.2902000000E-5	-2.9790600000E-4	3.8165979162E+9
