% Fsweep 21  at:	11/12/2024	16:16:09	drive_mV 7000.000000	DVM  0.000000
freq	Vx	Vy	time
8.8071388139E+1	2.5570500000E-5	4.0799600000E-4	3.8167780602E+9
8.8076387215E+1	2.6226200000E-5	4.0984300000E-4	3.8167780683E+9
8.8081386291E+1	2.6643400000E-5	4.1061800000E-4	3.8167780764E+9
8.8086385367E+1	2.7358600000E-5	4.1294300000E-4	3.8167780845E+9
8.8091384443E+1	2.7895100000E-5	4.1395600000E-4	3.8167780925E+9
8.8096383519E+1	2.8908400000E-5	4.1735400000E-4	3.8167781006E+9
8.8101382595E+1	2.9564000000E-5	4.1771100000E-4	3.8167782285E+9
8.8106381672E+1	2.9981300000E-5	4.1806900000E-4	3.8167782299E+9
8.8111380748E+1	3.2306000000E-5	4.2331400000E-4	3.8167782380E+9
8.8116379824E+1	3.3498000000E-5	4.2444700000E-4	3.8167782461E+9
8.8121378900E+1	3.4928600000E-5	4.2784400000E-4	3.8167782542E+9
8.8126377976E+1	3.5465000000E-5	4.2981100000E-4	3.8167782622E+9
8.8131377052E+1	3.7074300000E-5	4.3267200000E-4	3.8167782703E+9
8.8136376128E+1	3.8624000000E-5	4.3487700000E-4	3.8167782784E+9
8.8141375204E+1	4.0352600000E-5	4.3767900000E-4	3.8167782865E+9
8.8146374280E+1	4.2557900000E-5	4.4030100000E-4	3.8167782946E+9
8.8151373356E+1	4.3928900000E-5	4.4209000000E-4	3.8167783026E+9
8.8156372432E+1	4.6432300000E-5	4.4584500000E-4	3.8167783107E+9
8.8161371508E+1	4.9293300000E-5	4.5037500000E-4	3.8167783188E+9
8.8166370584E+1	5.1319800000E-5	4.5275900000E-4	3.8167783269E+9
8.8171369660E+1	5.3286800000E-5	4.5639500000E-4	3.8167783350E+9
8.8176368736E+1	5.6982300000E-5	4.6020900000E-4	3.8167783431E+9
8.8181367812E+1	5.9128000000E-5	4.6402400000E-4	3.8167783511E+9
8.8186366888E+1	6.4254300000E-5	4.6807700000E-4	3.8167783592E+9
8.8191365964E+1	6.7294100000E-5	4.7201100000E-4	3.8167783673E+9
8.8196365040E+1	7.2837300000E-5	4.7588500000E-4	3.8167783754E+9
8.8201364116E+1	7.6771200000E-5	4.8047500000E-4	3.8167783835E+9
8.8206363192E+1	8.1837600000E-5	4.8458800000E-4	3.8167783915E+9
8.8211362268E+1	8.8453800000E-5	4.8983500000E-4	3.8167783996E+9
8.8216361344E+1	9.4295000000E-5	4.9275500000E-4	3.8167784077E+9
8.8221360420E+1	1.0174600000E-4	4.9812000000E-4	3.8167784158E+9
8.8226359496E+1	1.0877900000E-4	5.0324600000E-4	3.8167784239E+9
8.8231358572E+1	1.1736200000E-4	5.0938500000E-4	3.8167784319E+9
8.8236357648E+1	1.2838900000E-4	5.1379600000E-4	3.8167784400E+9
8.8241356724E+1	1.3899900000E-4	5.1832600000E-4	3.8167784481E+9
8.8246355800E+1	1.5109900000E-4	5.2375000000E-4	3.8167784562E+9
8.8251354876E+1	1.6522500000E-4	5.2780300000E-4	3.8167784643E+9
8.8256353952E+1	1.8054300000E-4	5.3012700000E-4	3.8167784724E+9
8.8261353028E+1	1.9765000000E-4	5.3322700000E-4	3.8167784804E+9
8.8266352104E+1	2.1588900000E-4	5.3441900000E-4	3.8167784885E+9
8.8271351180E+1	2.3794300000E-4	5.3340600000E-4	3.8167784966E+9
8.8276350256E+1	2.5993800000E-4	5.3149800000E-4	3.8167785047E+9
8.8281349332E+1	2.8521000000E-4	5.2541900000E-4	3.8167785128E+9
8.8286348408E+1	3.1012500000E-4	5.1618000000E-4	3.8167785208E+9
8.8291347484E+1	3.3688700000E-4	5.0127900000E-4	3.8167785289E+9
8.8296346560E+1	3.6347100000E-4	4.8130900000E-4	3.8167785370E+9
8.8301345636E+1	3.8731300000E-4	4.5329500000E-4	3.8167785451E+9
8.8306344712E+1	4.0596900000E-4	4.1854600000E-4	3.8167785532E+9
8.8311343788E+1	4.2164500000E-4	3.8153100000E-4	3.8167785612E+9
8.8316342864E+1	4.3022800000E-4	3.4159600000E-4	3.8167785693E+9
8.8321341940E+1	4.3094300000E-4	2.9975400000E-4	3.8167785774E+9
8.8326341016E+1	4.2402900000E-4	2.5838800000E-4	3.8167785855E+9
8.8331340092E+1	4.1026100000E-4	2.2047900000E-4	3.8167785936E+9
8.8336339168E+1	3.8957800000E-4	1.8578900000E-4	3.8167786016E+9
8.8341338244E+1	3.6484200000E-4	1.5676100000E-4	3.8167786097E+9
8.8346337320E+1	3.3623200000E-4	1.3452900000E-4	3.8167786178E+9
8.8351336396E+1	3.0791900000E-4	1.1855400000E-4	3.8167786259E+9
8.8356335473E+1	2.8002400000E-4	1.0758700000E-4	3.8167786340E+9
8.8361334549E+1	2.5266600000E-4	1.0240100000E-4	3.8167786421E+9
8.8366333625E+1	2.2763100000E-4	9.9540200000E-5	3.8167786501E+9
8.8371332701E+1	2.0545800000E-4	1.0055400000E-4	3.8167786582E+9
8.8376331777E+1	1.8507300000E-4	1.0269900000E-4	3.8167786663E+9
8.8381330853E+1	1.6731100000E-4	1.0818300000E-4	3.8167786744E+9
8.8386329929E+1	1.5133700000E-4	1.1211700000E-4	3.8167786825E+9
8.8391329005E+1	1.3852200000E-4	1.1760000000E-4	3.8167786905E+9
8.8396328081E+1	1.2529000000E-4	1.2338300000E-4	3.8167786986E+9
8.8401327157E+1	1.1509700000E-4	1.3029700000E-4	3.8167787067E+9
8.8406326233E+1	1.0562000000E-4	1.3590000000E-4	3.8167787148E+9
8.8411325309E+1	9.7394500000E-5	1.4221800000E-4	3.8167787229E+9
8.8416324385E+1	8.9407400000E-5	1.4794000000E-4	3.8167787309E+9
