% Fsweep 22  at:	11/12/2024	16:29:54	drive_mV 7000.000000	DVM  0.000000
freq	Vx	Vy	time
8.8412408720E+1	9.6321600000E-5	1.4507900000E-4	3.8167795471E+9
8.8417506002E+1	8.8811400000E-5	1.5062200000E-4	3.8167795552E+9
8.8422603284E+1	8.2254900000E-5	1.5664200000E-4	3.8167795633E+9
8.8427700565E+1	7.6354000000E-5	1.6194700000E-4	3.8167795714E+9
8.8432797847E+1	7.1883700000E-5	1.6671500000E-4	3.8167795794E+9
8.8437895129E+1	6.7055700000E-5	1.7213900000E-4	3.8167795875E+9
8.8442992410E+1	6.2823800000E-5	1.7678800000E-4	3.8167795956E+9
8.8448089692E+1	5.9008800000E-5	1.8108000000E-4	3.8167796037E+9
8.8453186973E+1	5.6445800000E-5	1.8519300000E-4	3.8167796118E+9
8.8458284255E+1	5.3108000000E-5	1.8984200000E-4	3.8167796198E+9
8.8463381537E+1	4.9591300000E-5	1.9282200000E-4	3.8167796279E+9
8.8468478818E+1	4.6432300000E-5	1.9669600000E-4	3.8167796360E+9
8.8473576100E+1	4.5180600000E-5	2.0051100000E-4	3.8167796441E+9
8.8478673382E+1	4.2796400000E-5	2.0349100000E-4	3.8167796522E+9
8.8483770663E+1	4.0769800000E-5	2.0653100000E-4	3.8167796603E+9
8.8488867945E+1	3.8743300000E-5	2.0969000000E-4	3.8167796683E+9
8.8493965227E+1	3.7074300000E-5	2.1273000000E-4	3.8167796764E+9
8.8499062508E+1	3.5345800000E-5	2.1511400000E-4	3.8167796845E+9
8.8504159790E+1	3.3855700000E-5	2.1749800000E-4	3.8167796926E+9
8.8509257072E+1	3.2842400000E-5	2.2030000000E-4	3.8167797007E+9
8.8514354353E+1	3.1590700000E-5	2.2262400000E-4	3.8167797087E+9
8.8519451635E+1	3.0100500000E-5	2.2548500000E-4	3.8167797168E+9
8.8524548917E+1	2.8968000000E-5	2.2828700000E-4	3.8167797249E+9
8.8529646198E+1	2.7358600000E-5	2.3037300000E-4	3.8167797330E+9
8.8534743480E+1	2.7299000000E-5	2.3257800000E-4	3.8167797411E+9
8.8539840762E+1	2.5630100000E-5	2.3394900000E-4	3.8167797491E+9
8.8544938043E+1	2.4616800000E-5	2.3549900000E-4	3.8167797572E+9
8.8550035325E+1	2.4378400000E-5	2.3722700000E-4	3.8167797653E+9
8.8555132606E+1	2.3186300000E-5	2.3907500000E-4	3.8167797734E+9
8.8560229888E+1	2.2649900000E-5	2.4116100000E-4	3.8167797815E+9
8.8565327170E+1	2.1755800000E-5	2.4289000000E-4	3.8167797895E+9
8.8570424451E+1	2.1815400000E-5	2.4456000000E-4	3.8167797976E+9
